time,open,high,low,close,tickvol,vol
2024-05-21,128600.0,128950.0,127865.0,128205.0,5270947,20138260
2024-05-22,128000.0,128040.0,125600.0,125680.0,5329737,20421977
2024-05-23,126150.0,126450.0,124970.0,125450.0,5063968,18948087
2024-05-24,125650.0,125920.0,124510.0,124510.0,4139725,15000906
2024-05-27,124810.0,125085.0,124550.0,125000.0,3131959,11032896
2024-05-28,125415.0,126200.0,123840.0,123965.0,4787279,19105521
2024-05-29,123720.0,123865.0,122865.0,123350.0,4085192,15995545
2024-05-31,123350.0,123460.0,122215.0,122720.0,3861451,14834537
2024-06-03,122860.0,122920.0,121730.0,122005.0,4436981,16554606
2024-06-04,121720.0,122260.0,121120.0,122045.0,4956645,18207999
2024-06-05,122305.0,122380.0,121410.0,121515.0,4549213,17394471
2024-06-06,121700.0,123465.0,121385.0,123005.0,4439610,17099724
2024-06-07,122950.0,123425.0,120385.0,120605.0,5128757,19147888
2024-06-10,120695.0,121500.0,120515.0,121090.0,4647655,17581365
2024-06-11,120500.0,121880.0,120315.0,121700.0,4730720,17193669
2024-06-12,123500.0,124730.0,121325.0,121630.0,6040515,21300955
2024-06-13,121830.0,122260.0,121025.0,121395.0,5395877,18977298
2024-06-14,121300.0,122120.0,120590.0,121615.0,4889958,17268747
2024-06-17,121500.0,121910.0,120395.0,120870.0,4526500,16455264
2024-06-18,120550.0,121845.0,120275.0,121440.0,4951666,17430345
2024-06-19,121500.0,122750.0,120650.0,122750.0,4442848,15251034
2024-06-20,123270.0,123395.0,121770.0,122090.0,5557968,19807075
2024-06-21,122100.0,123250.0,121700.0,123190.0,4543536,16811937
2024-06-24,123090.0,124490.0,122820.0,124340.0,4193201,15311556
2024-06-25,124035.0,124410.0,123520.0,124095.0,4440969,15935408
2024-06-26,124150.0,124370.0,122860.0,124370.0,4906129,17816751
2024-06-27,124050.0,126000.0,124050.0,125900.0,4840987,18176305
2024-06-28,125835.0,126120.0,124700.0,125250.0,4820407,18764951
2024-07-01,125600.0,126715.0,125055.0,125920.0,5074529,19031046
2024-07-02,125700.0,126950.0,125545.0,126480.0,5000576,18780540
2024-07-03,126725.0,128000.0,126655.0,127600.0,4216615,16038544
2024-07-04,128000.0,128240.0,127370.0,127535.0,3727011,13497853
2024-07-05,127600.0,128235.0,126760.0,127760.0,4430466,16236118
2024-07-08,127600.0,127845.0,126790.0,127680.0,4707841,16225308
2024-07-09,127675.0,128600.0,127110.0,128475.0,4520322,16765785
2024-07-10,128625.0,129045.0,128060.0,128160.0,4658833,16598205
2024-07-11,128400.0,129515.0,128325.0,129470.0,4627979,16579909
2024-07-12,129420.0,130150.0,129065.0,130130.0,4132241,15553107
2024-07-15,129950.0,130570.0,129750.0,130535.0,3971497,14446476
2024-07-16,130200.0,130565.0,129730.0,130335.0,4186511,15769347
2024-07-17,129980.0,130595.0,129670.0,130315.0,3932685,14561788
2024-07-18,130225.0,130465.0,128380.0,129250.0,4403838,16420858
2024-07-19,129040.0,129355.0,127900.0,127900.0,2944039,10801891
2024-07-22,128400.0,128950.0,128135.0,128795.0,3628825,13304782
2024-07-23,128465.0,128505.0,126700.0,126885.0,3550481,14140744
2024-07-24,127005.0,127475.0,126845.0,127205.0,3469366,13842470
2024-07-25,126745.0,126875.0,126185.0,126600.0,3680347,13581983
2024-07-26,127100.0,128375.0,126600.0,128230.0,3462658,13657024
2024-07-29,128115.0,128320.0,127120.0,127795.0,3113567,12550338
2024-07-30,127520.0,127665.0,126425.0,126910.0,3111000,12517350
2024-07-31,127400.0,128295.0,127055.0,128105.0,3568639,14021787
2024-08-01,127980.0,129325.0,127515.0,127710.0,4006222,15908317
2024-08-02,127315.0,128430.0,126090.0,126775.0,4464957,16045512
2024-08-05,123790.0,126585.0,123130.0,126105.0,5470082,19020163
2024-08-06,126050.0,127240.0,125345.0,126230.0,5050552,18152758
2024-08-07,126900.0,127885.0,126705.0,127680.0,4933422,17278055
2024-08-08,127400.0,129265.0,127395.0,129160.0,3801615,14307635
2024-08-09,128835.0,131165.0,128635.0,130990.0,3894587,15270633
2024-08-12,131000.0,131820.0,130905.0,131425.0,3740549,13656811
2024-08-13,131520.0,132600.0,131480.0,132600.0,3605703,13779992
2024-08-14,134670.0,136010.0,134480.0,135250.0,3722728,13447861
2024-08-15,135410.0,136770.0,135355.0,136425.0,3517843,13683443
2024-08-16,136200.0,137050.0,136030.0,136205.0,3347907,13068829
2024-08-19,136355.0,138395.0,136325.0,138245.0,3505005,13980099
2024-08-20,138050.0,138530.0,137405.0,138415.0,3865135,14952641
2024-08-21,138590.0,139085.0,138260.0,138765.0,3619687,13459786
2024-08-22,138725.0,138730.0,136740.0,137350.0,4068617,15525872
2024-08-23,137760.0,138485.0,137320.0,137750.0,3716332,13720205
2024-08-26,137965.0,138950.0,137770.0,138810.0,3767639,13955427
2024-08-27,138750.0,139070.0,138460.0,138625.0,3392913,12970487
2024-08-28,138260.0,139280.0,137520.0,139165.0,4008401,15927382
2024-08-29,139315.0,139425.0,137400.0,137470.0,3702964,15230888
2024-08-30,137800.0,138990.0,136500.0,138025.0,4339312,16395710
2024-09-02,137250.0,137485.0,136125.0,136220.0,3340877,12076495
2024-09-03,135695.0,136590.0,135600.0,136220.0,4229941,16195516
2024-09-04,135880.0,138460.0,135755.0,137920.0,4161900,16378346
2024-09-05,137850.0,138340.0,137270.0,138265.0,3968200,14828342
2024-09-06,137800.0,138780.0,135650.0,135915.0,4460100,16053428
2024-09-09,136500.0,136800.0,135850.0,135850.0,3451978,12289874
2024-09-10,135740.0,136145.0,135035.0,135620.0,3682463,13648682
2024-09-11,135900.0,136310.0,135015.0,135780.0,4133642,15175263
2024-09-12,136285.0,136295.0,134725.0,135260.0,3469091,13570744
2024-09-13,135250.0,137085.0,135095.0,136015.0,3480795,13138905
2024-09-16,136240.0,136885.0,135850.0,136255.0,3224203,11642939
2024-09-17,136550.0,136735.0,135140.0,136285.0,3907339,14908552
2024-09-18,136040.0,136245.0,134450.0,134600.0,5220245,18753853
2024-09-19,135750.0,136180.0,133670.0,133715.0,4415341,15813563
2024-09-20,133740.0,134115.0,131610.0,131610.0,4511271,16117437
2024-09-23,131400.0,131750.0,130850.0,131360.0,4023182,14170863
2024-09-24,132590.0,133865.0,132335.0,132900.0,4201435,15030579
2024-09-25,133370.0,133845.0,132165.0,132430.0,4162468,14665408
2024-09-26,133300.0,134000.0,132745.0,133535.0,4393970,15120542
2024-09-27,133600.0,134595.0,133105.0,133370.0,3938731,14158893
2024-09-30,133715.0,134195.0,132455.0,132675.0,3759123,12775681
2024-10-01,132445.0,133990.0,132370.0,133485.0,5476633,19295865
2024-10-02,133720.0,135480.0,133645.0,134140.0,4970009,17091496
2024-10-03,133875.0,133940.0,131540.0,131920.0,5122052,18497900
2024-10-04,132150.0,132600.0,131335.0,132210.0,4166804,14638639
2024-10-07,131910.0,133350.0,131850.0,132315.0,4311088,15246760
2024-10-08,131385.0,131935.0,130600.0,131825.0,4614771,16516312
2024-10-09,131750.0,131825.0,129860.0,130005.0,4221090,16024726
2024-10-10,130240.0,130645.0,129895.0,130475.0,3688765,13029951
2024-10-11,130340.0,130945.0,129375.0,130270.0,3594962,13323547
2024-10-14,130100.0,131270.0,129420.0,131190.0,4491486,16015215
2024-10-15,130610.0,131330.0,130205.0,130765.0,4089884,14978275
2024-10-16,133190.0,134360.0,132910.0,133465.0,4331727,15923640
2024-10-17,133340.0,133430.0,131940.0,133020.0,3719029,13955717
2024-10-18,133470.0,133820.0,132120.0,132310.0,3623789,14242257
2024-10-21,132140.0,133115.0,132010.0,132220.0,4105117,15096109
2024-10-22,132050.0,132195.0,130960.0,132120.0,4555099,17583364
2024-10-23,131510.0,131530.0,130430.0,130800.0,4255530,16463964
2024-10-24,131315.0,132215.0,130610.0,132180.0,4420039,16581587
2024-10-25,132300.0,132360.0,131480.0,131480.0,4083295,14956968
2024-10-28,131600.0,133560.0,131355.0,133395.0,3783029,14553344
2024-10-29,133125.0,133485.0,132330.0,132405.0,4119268,15915383
2024-10-30,132250.0,132715.0,131885.0,132140.0,3500953,13231124
2024-10-31,131940.0,132335.0,131030.0,131140.0,3779942,14017168
2024-11-01,131465.0,131635.0,128995.0,129170.0,3599316,14030059
2024-11-04,130000.0,132170.0,130000.0,131995.0,3885161,15418502
2024-11-05,131925.0,132265.0,131130.0,131930.0,3753950,14527739
2024-11-06,130655.0,132020.0,129780.0,130440.0,5260046,19150359
2024-11-07,131150.0,132665.0,130605.0,130935.0,5183756,18885137
2024-11-08,130100.0,130340.0,128025.0,128870.0,4771430,18072148
2024-11-11,128450.0,129215.0,128230.0,128900.0,4184637,15549826
2024-11-12,128520.0,129250.0,128230.0,128700.0,4045424,15163008
2024-11-13,128800.0,129225.0,127820.0,128755.0,4659198,17251497
2024-11-14,129065.0,129440.0,128350.0,128620.0,4218073,15072354
2024-11-18,128850.0,129295.0,128105.0,128580.0,4042435,13997360
2024-11-19,128390.0,129480.0,128045.0,129260.0,4384179,15218073
2024-11-21,128900.0,129165.0,127350.0,127705.0,4552842,16822335
2024-11-22,127760.0,130435.0,127685.0,130160.0,4426743,16404347
2024-11-25,130295.0,130330.0,129555.0,129660.0,4030853,14298007
2024-11-26,129450.0,130995.0,129310.0,130715.0,4207756,15043141
2024-11-27,130600.0,130915.0,127875.0,128070.0,5293822,18635662
2024-11-28,128250.0,128250.0,124785.0,125270.0,4056332,14567889
2024-11-29,125645.0,126675.0,124405.0,126015.0,5616793,16728671
2024-12-02,126310.0,126390.0,125100.0,125600.0,4731396,16338190
2024-12-03,126155.0,126825.0,125700.0,126310.0,4653729,15951809
2024-12-04,126335.0,127140.0,125980.0,126460.0,4252192,14934182
2024-12-05,126640.0,128395.0,126270.0,128320.0,3956336,14914516
2024-12-06,127965.0,128015.0,125985.0,126100.0,4120427,14965971
2024-12-09,126740.0,127770.0,126505.0,127390.0,3542509,12462292
2024-12-10,128260.0,128750.0,127860.0,128465.0,4064622,14079070
2024-12-11,128260.0,131290.0,127525.0,130055.0,5190717,17539381
2024-12-12,130260.0,130480.0,125950.0,126260.0,4729248,17730321
2024-12-13,126305.0,126550.0,124590.0,125000.0,4170935,14333186
